"","ID","BEEP_TIME","DAY","INEG","IPOS","RUM","SAV","SHAREN","SHAREP","PP","PPP","GEN","AGE"
"108",446957952,2020-04-10 18:07:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"109",650744401,2020-04-10 11:44:00,1,NA,"1","NA","0",NA,"0","0.80","1.48",2,31
"110",91458382,2020-04-14 15:54:00,4,NA,"1","NA","0",NA,"0","1.44","0.67",1,30
"111",91458382,2020-04-15 10:13:00,5,NA,"1","NA","0",NA,"0","1.44","0.67",1,30
"112",650744401,2020-04-10 11:44:00,1,NA,"1","NA","0",NA,"0","0.80","1.48",2,31
"113",384337199,2020-04-13 10:36:00,3,NA,"2","NA","4",NA,"2","0.73","1.43",2,30
"114",384337199,2020-04-13 15:12:00,3,NA,"2","NA","2",NA,"1","0.73","1.43",2,30
"115",241515814,2020-04-10 16:19:00,1,-1,"NA","5","NA",5,"NA","0.46","0.52",1,26
"116",241515814,2020-04-10 16:49:00,1,-1,"NA","5","NA",5,"NA","0.46","0.52",1,26
"117",241515814,2020-04-14 13:26:00,4,-1,"NA","4","NA",4,"NA","0.46","0.52",1,26
"118",241515814,2020-04-11 12:54:00,2,NA,"1","NA","4",NA,"5","0.46","0.80",1,26
"119",241515814,2020-04-11 14:14:00,2,NA,"1","NA","3",NA,"5","0.46","0.80",1,26
"120",241515814,2020-04-13 15:25:00,3,NA,"1","NA","2",NA,"4","0.46","0.80",1,26
"121",241515814,2020-04-13 19:49:00,3,NA,"1","NA","3",NA,"2","0.46","0.80",1,26
"122",241515814,2020-04-14 19:57:00,4,NA,"1","NA","3",NA,"4","0.46","0.80",1,26
"123",241515814,2020-04-10 19:19:00,1,NA,"2","NA","3",NA,"3","0.46","0.80",1,26
"124",241515814,2020-04-10 20:14:00,1,NA,"2","NA","3",NA,"4","0.46","0.80",1,26
"125",241515814,2020-04-11 11:26:00,2,NA,"2","NA","3",NA,"1","0.46","0.80",1,26
"126",241515814,2020-04-11 16:49:00,2,NA,"2","NA","5",NA,"5","0.46","0.80",1,26
"127",241515814,2020-04-13 07:39:00,3,NA,"2","NA","3",NA,"1","0.46","0.80",1,26
"128",241515814,2020-04-13 09:13:00,3,NA,"2","NA","4",NA,"1","0.46","0.80",1,26
"129",241515814,2020-04-13 19:15:00,3,NA,"2","NA","3",NA,"3","0.46","0.80",1,26
"130",241515814,2020-04-14 10:42:00,4,NA,"2","NA","2",NA,"3","0.46","0.80",1,26
"131",241515814,2020-04-14 16:54:00,4,NA,"2","NA","2",NA,"3","0.46","0.80",1,26
"132",394907815,2020-04-14 16:48:00,4,NA,"1","NA","0",NA,"0","1.17","1.05",1,31
"133",923666021,2020-04-11 09:31:00,2,-3,"NA","5","NA",6,"NA","0.52","0.72",1,27
"134",923666021,2020-04-13 15:30:00,3,-3,"NA","4","NA",3,"NA","0.52","0.72",1,27
"135",923666021,2020-04-10 21:54:00,1,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"136",923666021,2020-04-11 16:58:00,2,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"137",923666021,2020-04-10 13:50:00,1,-1,"NA","3","NA",7,"NA","0.52","0.72",1,27
"138",923666021,2020-04-11 18:25:00,2,-1,"NA","5","NA",3,"NA","0.52","0.72",1,27
"139",923666021,2020-04-13 17:22:00,3,-1,"NA","3","NA",1,"NA","0.52","0.72",1,27
"140",923666021,2020-04-13 21:29:00,3,-1,"NA","6","NA",7,"NA","0.52","0.72",1,27
"141",923666021,2020-04-11 19:48:00,2,NA,"1","NA","7",NA,"7","0.52","0.72",1,27
"142",923666021,2020-04-14 13:13:00,4,NA,"1","NA","3",NA,"5","0.52","0.72",1,27
"143",923666021,2020-04-10 16:17:00,1,NA,"2","NA","3",NA,"1","0.52","0.72",1,27
"144",923666021,2020-04-10 16:49:00,1,NA,"2","NA","6",NA,"4","0.52","0.72",1,27
"145",923666021,2020-04-11 11:18:00,2,NA,"2","NA","2",NA,"1","0.52","0.72",1,27
"146",923666021,2020-04-13 09:20:00,3,NA,"2","NA","1",NA,"4","0.52","0.72",1,27
"147",923666021,2020-04-13 13:11:00,3,NA,"2","NA","1",NA,"5","0.52","0.72",1,27
"148",923666021,2020-04-13 19:11:00,3,NA,"2","NA","3",NA,"6","0.52","0.72",1,27
"149",923666021,2020-04-14 08:15:00,4,NA,"2","NA","4",NA,"6","0.52","0.72",1,27
"150",923666021,2020-04-10 19:09:00,1,NA,"3","NA","1",NA,"3","0.52","0.72",1,27
"151",923666021,2020-04-13 12:04:00,3,NA,"3","NA","4",NA,"6","0.52","0.72",1,27
"152",923666021,2020-04-13 19:48:00,3,NA,"3","NA","2",NA,"4","0.52","0.72",1,27
"153",91458382,2020-04-14 15:54:00,4,NA,"1","NA","0",NA,"0","1.44","0.67",1,30
"154",91458382,2020-04-15 10:13:00,5,NA,"1","NA","0",NA,"0","1.44","0.67",1,30
"155",923666021,2020-04-11 09:31:00,2,-3,"NA","5","NA",6,"NA","0.52","0.72",1,27
"156",923666021,2020-04-13 15:30:00,3,-3,"NA","4","NA",3,"NA","0.52","0.72",1,27
"157",923666021,2020-04-10 21:54:00,1,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"158",923666021,2020-04-11 16:58:00,2,-2,"NA","3","NA",1,"NA","0.52","0.72",1,27
"159",923666021,2020-04-10 13:50:00,1,-1,"NA","3","NA",7,"NA","0.52","0.72",1,27
"160",923666021,2020-04-11 18:25:00,2,-1,"NA","5","NA",3,"NA","0.52","0.72",1,27
"161",923666021,2020-04-13 17:22:00,3,-1,"NA","3","NA",1,"NA","0.52","0.72",1,27
"162",923666021,2020-04-13 21:29:00,3,-1,"NA","6","NA",7,"NA","0.52","0.72",1,27
"163",923666021,2020-04-11 19:48:00,2,NA,"1","NA","7",NA,"7","0.52","0.72",1,27
"164",923666021,2020-04-14 13:13:00,4,NA,"1","NA","3",NA,"5","0.52","0.72",1,27
"165",923666021,2020-04-10 16:17:00,1,NA,"2","NA","3",NA,"1","0.52","0.72",1,27
"166",923666021,2020-04-10 16:49:00,1,NA,"2","NA","6",NA,"4","0.52","0.72",1,27
"167",923666021,2020-04-11 11:18:00,2,NA,"2","NA","2",NA,"1","0.52","0.72",1,27
"168",923666021,2020-04-13 09:20:00,3,NA,"2","NA","1",NA,"4","0.52","0.72",1,27
"169",923666021,2020-04-13 13:11:00,3,NA,"2","NA","1",NA,"5","0.52","0.72",1,27
"170",923666021,2020-04-13 19:11:00,3,NA,"2","NA","3",NA,"6","0.52","0.72",1,27
"171",923666021,2020-04-14 08:15:00,4,NA,"2","NA","4",NA,"6","0.52","0.72",1,27
"172",923666021,2020-04-10 19:09:00,1,NA,"3","NA","1",NA,"3","0.52","0.72",1,27
"173",923666021,2020-04-13 12:04:00,3,NA,"3","NA","4",NA,"6","0.52","0.72",1,27
"174",923666021,2020-04-13 19:48:00,3,NA,"3","NA","2",NA,"4","0.52","0.72",1,27
